text,class
"Advanced discussion here. You'll understand it all by the end of the course.Passing an argument to a parameter has the same effect as an assignment statement: the parameter ends up containing the memory address of the value. If that value is mutable, such as a list, then you can change its contents:>>> def f(lst):...    lst.append(3)... >>> L = [1, 2]>>> f(L)>>> L[1, 2, 3]In your example, though, you're not mutating the value itself; instead, in your function body you reassign to parameter x. Also, that parameter x is not the same x outside the function; the one outside is a global variable.Is that enough explanation? I'm happy to keep going!",instructor
"Crafting Quality Code has this course as a prerequisite, so you have a strong argument that you've mastered the material in this course.",instructor
"There are several threads in the Course Tools discussion board that provide instructions for installing Python 3 in Linux. One of the problems is that there are many Linux distributions, and several installation mechanisms. Try searching for the distribution you use in the Course Tools board.",instructor
The problem with that wording is that it isn't accurate -- variable x contains a memory address and not the value. The terminology we're using in this course is that x refers to a value.,instructor
"Try copying and pasting these into the IDLE shell:round(3.14156265359)round(3.14156265359, 1)round(3.14156265359, 2)round(3.14156265359, 3)",instructor
We indeed had trouble with the microphone we were using early on. Apologies!,instructor
"Sorry Michael, which question was this? Was it the one at 5:33?",instructor
"On OS X, I've been using Slate for my window management:https://github.com/jigish/slateThat might be overkill, though; I spent a couple of hours tweaking it until it did just what i want. Spectacle is quite good:http://spectacleapp.com",instructor
"The video quizzes are done using Javascript, and aren't part of the video itself. That's why you need to be online to see them.",instructor
"I recommend using the Python Visualizer link on the Resources page -- our link has all the settings we use for this course.Edit: our link also takes you to pythontutor.com, but with settings that match what we use.",instructor
Many people completed the first offering of the course without the book. That's only there in case you want addition reading and exercises.Please don't pirate books.,instructor
"Each lecture has its own discussion board (click on the ""Discuss"" button in the center-bottom of each video). Is that enough?",instructor
Well done!,instructor
"We will go deeper! Variables are central to programming, and you'll be using them throughout the course. Almost every single task will involve variables, so you'll get a ton of practice.Please also use the Python Visualizer to explore code executing, including how variables behave -- the link is available from the Resources page.",instructor
"Hmm, in Python they are sequential: with operators of the same precedence, the order of evaluation is left to right.",instructor
"What is the expected range of the return value for get_seconds, and what range are you getting when you call to_24_hour_clock?",instructor
"I'm not sure that a percentage is the way to make that decision. If it were me, I'd switch when all of the 3rd party packages that I needed had been ported. If even one that I relied heavily on hasn't been ported, I wouldn't switch.Another reason to not switch is if you have a large Python 2 codebase and no time to run 2to3 on it and then test the results.Here's an in-depth article outlining the issues:http://python3porting.com/strategies.html",instructor
I've just updated that question. Any better?,instructor
"Yup, we will leave that link up. However, you can pick the settings to match ours; here's a picture:",instructor
The Python expression may evaluate to True or it may evaluate the False; each of the English sentences may be true or may be false. Which English sentence is true exactly when the Python expression evaluates to True?,instructor
"The reason why we start with this is because it should be the easiest part: you know what data you have (the arguments) and you know what data you want (the return value). If you haven't figured out these two things, then you can't write code to do it!",instructor
"I play in the Society for Creative Anachronism [http://sca.org/], a group that studies medieval life. It's an odd set of rules -- we use rattan instead of metal, so perhaps ""stick fighting"" would be closer. Because we use rattan, though, we can hit full force. It's not just armoured combat, though: there's everything from weaving to glassblowing to cooking using medieval recipes. A favourite event is Pennsic [http://pennsicwar.org/], a 2-week camping event with 10,000 people that happens in western Pennsylvania. (Best shopping ever.)Typical scotches: Dalwhinnie (especially in the summer), Balvenie, Dalmore, Oban. I find heavy peat to be a bit too much. You?",instructor
"Tim, are you using Internet Explorer? That browser seems to cause problems when downloading files. Can you maybe try Firefox?",instructor
"Somrik, if it happens again please post in this thread and we'll get it fixed.",instructor
"Sudhanshu, that looks like your answer is 25.0 when it should be 1.0 -- notice that the assignment handout says ""Be sure to callto_24_hour_clock to convert the time to a time on a 24 hour clock before returning.""",instructor
"Subhash, check the indentation in time_from_utc. :-)Byrd, I see that you've made progress -- are you in better shape now?Anyone else still stuck?",instructor
Do you happen to be using Internet Explorer? That seems to add a bunch of stuff to a1.py when you download it. In our a1.py there aren't any of the =0A= markers.,instructor
I see that you now have a 34. Does that make more sense now?,instructor
"Two reasons (that I can think of).1) Because we want people to work mostly as a cohort. We've got some very helpful folks who have come out of the woodwork to help each other, and I don't think that would happen if people worked at their own pace.2) The more practical reason: we're editing the material as we go, cleaning up sound, removing our stuttering and misspeaks, making the summaries better, and so on. We're just barely ahead of the material.",instructor
"Eventually, if you continue to program after this course, yes -- every development environment comes with a debugger that works a lot like IDLE's, and learning your way around one is necessary to becoming a professional programmer.",instructor
"Hmm, can you post a screenshot here?",instructor
Do you mean the in-video quizzes? I see them in the first couple of videos. Or do you mean the exercise?,instructor
"No, they should work identically. Can you copy and paste the code and errors you're getting? You can format them here by selecting the code and clicking the <code> tag above the editing area.",instructor
"That's a nice suggestion, thank you! I've made a note to fix that the next time I get a chance.",instructor
"It's purely an instructional method. It is used in many built-in functions, though:>>> help(abs)Help on built-in function abs in module builtins: abs(...) abs(number) -> number Return the absolute value of the argument.And if you provide it some tools such as IDLE will show that information.",instructor
"I completely understand, and we're trying to be as clear as we can. (We ran into issues with that the first time we ran the course so we're aware that we need to be careful.)",instructor
"We'll be posting the videos, assignments, and exercises every Monday at 11:59 EDT. (1 minute before noon, Toronto time.)",instructor
"That's a feature that Coursera provides in case an instructor wants to let people submit 2 files. We're not using it for LTP1, and you can ignore it.",instructor
Not timed.,instructor
The Resources page (in the navigation bar to the left) contains a link to the Python Visualizer with all the settings we use in the course. Please always use that one so that you get used to the visualization we're using throughout the course -- the link in this thread uses different settings. (But thank you for setting it up!)Here's the link with the same q18 code with the right settings:http://pythontutor.com/visualize.html#code=def+convert_to_minutes(num_hours)%3A%0A++++'''(int)+-%3E+...,instructor
"The Resources page (in the navigation bar to the left) contains a link to the Python Visualizer with all the settings we use in the course. Please always use that one so that you get used to the visualization we're using throughout the course -- Alex, the link you provided doesn't have the same settings.",instructor
"There isn't an offline version that I know of, unfortunately. In the online one, the code is sent to the server and analyzed, and so you need be online.",instructor
"The Resources page (in the navigation bar to the left) contains a link to the Python Visualizer with all the settings we use in the course. Please always use that one so that you get used to the visualization we're using throughout the course -- Alex, the link you provided doesn't have the same settings.",instructor
"The Resources page (in the navigation bar to the left) contains a link to the Python Visualizer with all the settings we use in the course. Please always use that one so that you get used to the visualization we're using throughout the course -- Alex, the link you provided doesn't have the same settings.",instructor
The Resources page (in the navigation bar to the left) contains a link to the Python Visualizer with all the settings we use in the course.,instructor
Click the Resources link in the navigation bar to the left -- there is a link to the visualizer that has all the settings we use in the course.,instructor
"That's awesome to hear! And excellent positive feedback, which we always appreciate.",instructor
"This is advanced. Please don't worry if you're completely lost with this post. You'll understand most of it by the end of the course.In week 7, you're going to learn about dictionaries, which allows you to define mappings between keys and values, much like a regular dictionary maps words to definitions. (This is directly relevant to the question in this thread! Don't worry if it doesn't make complete sense yet; come back to this after week 7.)Here, 'a' is mapped to 'b', and 'c' is mapped to 'd':>>> a_dictionary = {'a': 'b', 'c': 'd'}We can look up a value given a key:>>> a_dictionary['a'] 'b'The reason this is relevant is because Python uses dictionaries to keep track of variables and their values. Every running function (and the Python shell itself) is given a dictionary to keep track of the values of its parameters and local variables. You can access these various dictionaries using built-in function locals:>>> my_variable = 'abracadabra' >>> locals() {'__doc__': None, '__package__': None, 'my_variable': 'abracadabra', '__name__': '__main__', '__builtins__': <module 'builtins' (built-in)>, '__loader__': <class '_frozen_importlib.BuiltinImporter'>} Notice the 'my_variable': 'abracadabra' entry! Python turns variables into strings and saves them in a dictionary. And that is why variables are separate from their values in Python.For the rest of the entries, anything starting and ending with 2 underscores is special to Python.  Notice the '__builtins__': <module 'builtins' (built-in)> entry -- that's how Python accesses the built-in functions.",instructor
"That's actually a tricky question to answer because Python keeps some common values in memory but recycles less-common ones. Small integers (-5 to 256, I think?) are kept around, or cached, but everything else is recycled, or garbage collected, or ""garbage collected"". Some strings are also cached.",instructor
"I respectfully disagree. I've found that understanding the memory model helps a lot with the concepts that we're going to encounter in the next several weeks. It's harder for the simple stuff, but it makes future concepts much, much easier. Much.Check out the Python Visualizer, available from the Resources page.",instructor
"We need to start somewhere, and everyone is familiar with simple mathematical expressions. We'll get to more advanced stuff, I promise!",instructor
"I've reworded the question to say this:Add enough parentheses to the expression 3 + 4 / 2 - 7 so that the operations are evaluated in the following order: +, -, /.Is that clearer?",instructor
Sorry about that -- I've submitted a request to recaption. It usually takes a day or two.,instructor
What happens when you double-click on IDLE? Do you get an error message?,instructor
"We went the other direction -- we're allowing people to submit up to a week ""late"" with no penalty.",instructor
"Whoops! That ""stores"" should be ""contains"" -- I've just fixed it.Background: to store something is to put it somewhere. To contain something is to hold it. Python stores memory addresses inside variables, and variables contain those memory addresses. It's not the variable that is doing the storing.",instructor
"Ahmed, thanks! Can you please look through here and let us know if you run into issues? http://help.coursera.org/customer/portal/articles/864122-i-love-coursera-how-can-i-help-or-volunteer...",instructor
This seems like a pretty good intro: http://www.mathgoodies.com/lessons/vol7/order_operations.html,instructor
"We're cleaning the videos as we go and proofreading the exercises and assignments, so we don't have them ready yet. We'll be posting the week's work every Monday at noon.",instructor
"Can you try this? Open Terminal.app. (It's in /Applications/Utilities.) You'll see something like this (it doesn't matter exactly what you see, but I think it'll end in a $):Last login: Fri Aug 16 10:37:49 on ttys000 (computer_name:~)$ Type python3 after the $: (computer_name:~)$ python3 Python 3.3.2 (v3.3.2:d047928ae3f6, May 13 2013, 13:52:24) [GCC 4.2.1 (Apple Inc. build 5666) (dot 3)] on darwin Type ""help"", ""copyright"", ""credits"" or ""license"" for more information. >>> Do you see that? If you do, type Control-D, which should bring you back to the $ prompt. Type <code>idle3</code>:(computer_name:~)$ idle3IDLE should open up, although it might open up behind the current application.Does that work?",instructor
You should indeed be fine as long as you are using Python 3.,instructor
"I'm not sure whether you can install stuff at work, but here are some instructions for installing Python 2.7 alongside Python 2.6 in centos:http://toomuchdata.com/2012/06/25/how-to-install-python-2-7-3-on-centos-6-2/",instructor
Thanks! These reports help a lot (and save me a lot of time hunting). Much appreciated.,instructor
"Close! 'variable' is more general that 'parameter': in the code below, there are two variables, x and y. def f(y): return y * 2 x = 3 f(x) y is also a parameter, but x is not. Also, x is used as an argument in function call f(x). A parameter is a variable that appears between the parentheses in a function header, and an argument is an expression that appears between the parentheses of a function call.",instructor
"Last March, we ran a 5-week followup course called ""Learn to Program: Crafting Quality Code"". The material is still available:https://www.coursera.org/course/programming2We don't currently have plans to re-run it, but we'll be leaving that offering open so that you can watch the videos and do (some of) the exercises and assignments.",instructor
This sometimes takes several minutes to propagate to all the servers. Can you please try once more and let me know if it's ready?,instructor
"Whoops! I clicked the wrong button, my apologies. It should be fixed now.",instructor
"I copied and pasted exactly that from your post and it was correct; do you have a screenshot, perhaps?",instructor
"We haven't made big changes to the course, although we are cleaning up the videos as we go -- improving the sound, making the videos a bit smoother. We also proofread and updated the exercises.",instructor
That's because we're nervously excited!,instructor
"The big problem is that the Mac comes with Python 2.6, and Python 3 has several changes that mean Python 2 won't work with this course.",instructor
That was an accident -- we had weeks 5 and 7 set as visible. I'm glad we didn't do that with the final exam! :-),instructor
Ouch! I'm so sorry about that -- I've updated the questions so that clicking greeting.py opens it in a new window.,instructor
"I agree, it's a very nice idea.",instructor
"Every programmer needs a mental model (not necessarily visual) of what happens as a program executes -- otherwise, they wouldn't . The visualizer presents a model that I and quite a few other programmers think in as we program. Any model that accurately predicts program execution is fine! However, any correct model will match exactly what the visualizer presents, so if you have a model that doesn't match the one in the visualizer, it is very likely that there is a misunderstanding.",instructor
"If you follow the Function Design Recipe, you end up with a function definition: header, docstring, and body.",instructor
"Anonymous, can you please let me know whether the new instructions in Step 2 help get you started?",instructor
"The first offering started with about 70,000 people, had 85,000 registered by the end of the course, and ended with over 144,000 (!) by the beginning of this offering.Of the 70,000 or so, about 9,500 wrote the exam and of them 9,000 earned a certificate. So indeed participation drops quickly, for all the reasons that Anonymous listed.",instructor
"The main problem with that is that we often can't monitor the boards or fix errors on the weekend. We tried that during the first offering, and we had some very bad experiences with exploding threads of complaints.That's also the main reason why we made the hard deadline have no penalty, and set it a week after the due date -- so that people who fall behind have a chance to catch up.",instructor
"Why do I have a DisabledBuiltinError? You're probably trying to call the open function from your code. Notice that none of the function docstrings say that any of the arguments passed in to any of the functions are file names. The type contracts list arguments as being of type ""file open for reading"", not ""str"" as would the case if we wanted you to open any files. Instead, when testing your code, you should open the file in the shell and call your functions, passing in that opened file.",instructor
"This thread is for frequently-asked questions. Only Community TAs, instructors, and other staff should post here.Other posts may be deleted on sight: please start a new thread if you have a question about A3.",instructor
"These two concepts are quite different:Some objects, such as lists, are mutable.Variables can be reassigned. Reassigning a variable, as you do in the code above, makes that variable point to a different object. That is different than changing the contents of the object that a variable points to.Does that difference make sense?",instructor
"I like Wing IDE 101, which is free:  http://wingware.com/downloads/wingide-101/5.0.0-b7/binaries",instructor
I disagree that the empty string doesn't have a complement. Try this:   http://www.bioinformatics.org/sms/rev_comp.html http://clasher.myweb.uga.edu/testpages/seqconv.html,instructor
"Thousands of people completed the first offering of this course without a textbook. It really isn't necessary!If you want a free book, there are several listed on the Course Wiki (the link is in the navigation bar to the left).",instructor
"I agree! And it's even worse than just learning English, because we're using programming terms like ""value"" and ""type"" with particular meanings -- people who are fluent in English also have trouble with these issues, but learning programming terminology (and agreeing on exact definitions) will help a great deal with future topics.",instructor
"Linda, do you remember exactly what you typed?",instructor
"I think you'd agree that clarity in documentation is important; part of that is choosing a convention, and the convention we're using is that we're not using parentheses on the return type.(It's surely a bit pedantic of me, but I believe that teaching about code style is part of teaching about programing.)",instructor
"I took a look at your answers, and it looks like for a few questions you provided a type (float, for example) rather than a value, and the questions were asking you to provide values. (Had we wanted the type, we would have asked something like ""what is the type of the value that x refers to"").",instructor
"In programming, ""return"" has a specific meaning: produce a value as a result of a function call. So the phrase ""return the number to the screen"" isn't in programming-speak, and we'll never use it like that.Function print changes the pixels on your screen; it doesn't return a value (other than None).",instructor
We have answers for even-numbered exercises for the first edition here:   http://www.cdf.toronto.edu/~pgries/pybook/I don't think answers to odd-numbered exercises are posted anywhere.,instructor
"You can submit as many times as you like (although if the server load gets heavy we'll probably restrict submissions to once every 10 minutes or so).So you can submit your file every time you finish a function if you like, or you can wait until you have several or all of them done.There is no penalty for submitting multiple times.",instructor
"There is only one module, and each function (such as seconds_difference) should be inside that module. Submit that file in the code submission, not the additional submission.",instructor
"Numbers like 2.3 will never be returned by the function -- there are never a fractional number of vowels. When writing a contract, it's better to be as specific as possible with each type.",instructor
"Your return statement should be indented as well:def area(base, height): '''(number, number) -> number Return the area of a triangle with dimensions base and height. ''' return base * height / 2",instructor
"The biggest problem with this is the possibility of technical problems: Coursera issues, problems with the autotesting software, that sort of thing. We found during the first offering that if we were available when things were released then everyone was a lot happier. That's the main reason why we chose noon on Mondays.",instructor
"This direct link doesn't carry all the settings we use in the course -- for those, please use the link on the Resources page.",instructor
print can handle any number of arguments.,instructor
Sorry about that -- it should be fixed.,instructor
"This is a great discussion! Please be careful to not provide answers.And more positively: I strongly encourage you to visit the Python visualizer, copy and paste the code, and watch what happens. Then hide the window and try to draw it on a piece of paper. Learning how to do this will pay off tremendously in a couple of weeks: you'll start to rely on these mental pictures and more advanced manipulations (we're just scratching the surface) will become much more clear.The URL is available from the Resources page.",instructor
"If you know which videos are the most problematic, we'd appreciate it -- I spent a lot of time improving the sound, but clearly there's more to be done.",instructor
"Wow, thanks everyone! :-)",instructor
"You can indeed save as you go. If you save, you can visit other webpages, come back, and continue where you left off.",instructor
This thread is for frequently asked questions. Only instructors and TAs should post here.,instructor
"I'd like to take credit, but those were provided by a student! And I don't even know who.Here are instructions:http://help.coursera.org/customer/portal/articles/864122-i-love-coursera-how-can-i-help-or-volunteer...",instructor
"The book version is almost finished. The publishers are doing a layout pass, not changing content, and then it'll be done. (Phew!)",instructor
"Or, if it_rains: # Do stuff.Well, maybe I'm pushing it.",instructor
"Next Monday, Noon Toronto time. Which reminds me I have to update the countdown.",instructor
"Anon, that's because in the video, the body of the function is not compacted in the return statement. The calculation is split onto several lines of code: ",instructor
"That is because when you reach a return statement, the function immediately exits. No more code from the body of the function is executed after that. In that particular code fragment, the execution flow will never reach the return False statement if the temperature was equal to 22.5. ",instructor
"That's because your function and your parameter local variable eggs have the same name.  Try calling the function dozen_eggs and the parameter eggs, not num. [Edit: well, maybe ""missing_eggs"" would be a better name.]",instructor
"José, thanks, I've pinned your thread here because people seem to miss mine in the Off-topic section, I've also corrected a typo. Edit: a few typos *",instructor
Also you were missing a closing parenthesis.,instructor
"I think it's because the if was not indented, so it was in the place where and elif or an else should have been.",instructor
"Oh right, no that's my bad, sorry I forgot you need to print it. Try this:def clear(): print('\n' * 100)",instructor
"If you are using IDLE, there is no built-in way to clear the shell. The closest would be to define a function like so: def clear(): return '\n' * 100To just output new lines until the previous text disappear. If you are using a Terminal, you can try CTRL + L, or ""clear"", or ""cls"" under Windows",instructor
Hello RobertEverything that's in a stack frame is grouped with a gray border on the left hand side. Remember that the questions are asking to include the global frame.,instructor
"Hello Anon, Did you try both available player types? (You can switch player type using the link at the top of the Video Lectures page.)",instructor
"Yes, as Anon said, the solution is much simpler. Also remember that Assignment 1 was released during Week 2, you don't need to use if statements at all.",instructor
"Gerard, When you use the ""Run Module"" functionality of IDLE, it's pretty much the same thing as pasting the code into the shell, except it does a quick Syntax check on the file first. There's a modified version of the import statement that produces a similar result in Python: from module import * However, doing this is sometimes considered bad practice. If you have previously defined a function and the module contains a function with the same name, the function you had will be silently replaced by the function in module, which can trigger unexpected behavior.",instructor
"I you try in IDLE, remember you have to use the options inside the function body, or bad things will ensue. Did you do that?",instructor
You can check out the PDF versions of the quizzes (Available on the Video Lectures page) if you want to see the correct answers. Cheers,instructor
"Because it would return None, not False, if temp is not equal to 22.5.",instructor
"OK, well I'll link to this thread in the CTA forums so someone can take a look.The unresolved stuff is normal, every thread opened in certain sections of the forum are equipped with a resolved ON/OFF switch, and every unresolved thread appears with a ""(?)"" icon in the thread list: ",instructor
This is awesome. Hulk Tactlessly Destroys Everything But Thor,instructor
It seems like two of the tests that were run on your functions produced unexpected values. You should check your feedback and try and pinpoint what functions are concerned.,instructor
"Your solution is perfectly fine, but the course staff cannot program the quiz to accept every possible way to solve this problem in python, after all: return (12 <= temp <= 28) != Truereturn ((12 <= temp <= 28) != True)return not not ((12 <= temp <= 28) != True)return not not ((12 <= temp <= 28) == False)return not not (((12 <= temp <= 28) != True))return not not not not ((12 <= temp + 1 - 1 <= 28) != True)All of those would work too, but the quiz cannot check for everything.",instructor
"João I'm not sure what you're saying, you think there is a problem with the proposed answer?",instructor
That's because the program cannot possibly check for every valid python expression that would solve this problem. There is to hints for that problem: - Use the or operator. - Do not use parenthesis.,instructor
"IDLE comes with Python, you should have it somewhere, and if you don't, you should be able to start it from the Python shell by typing in: import idlelib.idle",instructor
"Nancy, are you still experiencing the problem? Cheers",instructor
"Hello It should update provided your newest submission got you a higher score, was that the case? If you scored higher, then it might be a problem and I will report it on the CTA forums. Cheers",instructor
"It does work on booleans: >>> True ^ TrueFalse>>> True ^ FalseTrue>>> False ^ TrueTrue>>> False ^ FalseFalseHowever, this is the bitwise XOR operator, be careful what the operands are or you might get some weird results.",instructor
"English is not my native language so I looked up ""decimal point"" on the Internet and this is what came up: http://www.mathsisfun.com/definitions/decimal-point.html Is that correct? If it is, then the problem is the extra ""s"" at the end of ""points"" was confusing, and I'll report it as a typo.",instructor
"Ok, well in that case, you should locate the folder in which IDLE does the initial search when you want to open a file, and move your a1.py there. If you can't locate it, maybe you can also navigate to where the file is when you use IDLE's open menu. Third solution, use IDLE's File -> New to create a new file, use this link to access the code in the file in your browser, copy all the code and paste it in the new IDLE editor window, then save it.",instructor
"Can you right-click it and choose ""open with IDLE"" in Windows 8?",instructor
You should go back on the instructions for the get_hours functions. It mentions using the to_24_hour_clock function to restrict the output.,instructor
"Yeah, you're not restricting the output range of the get_hours function using to_24_hour_clock. Check the instructions again.",instructor
"This happens when you break indentation level somewhere that doesn't make sense Syntactically: >>> def f(x):... x = 4... y = 4 File ""<stdin>"", line 3 y = 4 ^IndentationError: unindent does not match any outer indentation level See how the indent level I get back to on the third line does not match the level of def ?",instructor
"Sure. We'll do for loops, and string manipulation. There's a description of the various topics we'll see on the Syllabus page. Cheers",instructor
Sure: Week 4 Countdown!,instructor
"Alain: interesting string trick, I've just thought of another similar one: return 'TAGC'['ATCG'.find(nucleotide)] >>> 'TAGC'['ATCG'.find('A')]'T'",instructor
"I'd appreciate a Biologist's input on that one: Anyone has better names for it, shoot! I was short on inspiration.",instructor
Here's mine: http://paste.debian.net/hidden/7549426f/ Cheers,instructor
"Yeah, feel free to go ahead, I'll add some tests to my docstrings before I post mine, it might take a while.",instructor
I think you may have something like this somewhere: for item in stuff: where stuff is something that's None. Does your make_str_from_column correctly returns (not print) the result? Cheers,instructor
"Anon: just so you know, the message has been passed upstairs. ",instructor
And by the way: now it's four.,instructor
"This is a Python2 Vs Python3 thing. This course uses Python 3. If you want to stick with Python 2, try: from tkFileDialog import askopenfileCheers",instructor
"Well, when Python evaluates a boolean expression, the last thing evaluated becomes the value of that expression. >>> True and 'T''T'>>> False and 'T'False>>> False or 'T''T' Recall the rules for evaluating boolean expressions: From left to right and binds more strongly than or. (It has higher precedence) If the left hand side of an and expression is False, the right hand side is not evaluated The right hand side of an or expression is only evaluated if the left hand side is False. And there's an extra rule: if a string shows up in place of a boolean value, it's considered False if it's the empty string '' and True if it's not. So in the code nuc == 'A' and 'T' if the left hand side is True, because it's an and operator, the right hand side is evaluated, it's value is 'T' so it becomes the value for the expression and because what follows Is the right hand side of an or expression, it's not evaluated. However if nuc is not equal to 'A' then the whole and expression evaluates to False and the right hand side of the or expression Is then evaluated, etc... ",instructor
"After checking it out again, Kundula above was right on the mark, kudos.",instructor
"Hello Shannon.I've edited out your code because it's very close to being correct. :)The problem's root is in your get_complement code:You added one space too many in front of two if statements.This is most likely just an indentation problem.Cheers [Edit: hm, I hadn't seen the NoneType error stuff. It's probable seeing the two post above something else was wrong, sorry for jumping the gun. :s]",instructor
"Good news everyone! Better late than never: this thread has come to our attention. I've reported the typo on the CTA forums. Let's hope for a quick resolution, but keep in mind that the instructors just started their semester IRL and are somewhat busy because of that.  Cheers",instructor
"Actually, the point was made in the Quiz: But thanks to this thread, I noticed a typo in the explanation of the quiz above.An expression using slice notation [...] should be replaced by: Using slice notation on a list [...]('Cause this is not true for a slice on a character string.)",instructor
">>> # 0 --- x... l = [[0, 1, 2], # 0... [3, 4, 5], # |... [6, 7, 8]] # y>>> # y... l[1][3, 4, 5]>>> # y x... l[1][0]3>>> ",instructor
"math is a special exception to the rule, that's probably because it's so used in introductory courses. Try this and you'll see that most other modules won't be imported. Cheers",instructor
"That's pretty much it yeah, but you have to aggregate the result using an accumulator pattern, too.",instructor
Have you read the A2 FAQ?,instructor
"Bradley, another link: http://docs.python.org/3/reference/lexical_analysis.html#explicit-line-joining",instructor
"Do you have a get_complement function in the file you submitted?The autograder expects you to provide one.It seems to me that either the message is not related to your get_complementary_sequence code, or that you are calling that function which does not exist in your get_complementary_sequence code. ",instructor
">>> print(""This is a long, looooooonnnnnnnnnnnnnnnnnnnnnnnnnnnnnnng ass ""... + ""String"")This is a long, looooooonnnnnnnnnnnnnnnnnnnnnnnnnnnnnnng ass String>>> ",instructor
"The shell he's talking about is not the IDLE shell, or your Python shell, but your OS shell. (Windows: cmd.exe, Unix: Terminal)",instructor
Seems like autograder is still accepting submissions for a1:,instructor
"Well, let's see if you get this notification, Herr general-general. :D",instructor
"Hey Yinfey, I'm not sure that this was mentioned in the lectures, but you can use the built-in help of the method. (It belongs to the str object); >>> help(str.isalnum)Cheers",instructor
"The first work only on a single character. (Or a string of length 1, if you want.) The seconds works on a multi-character string.",instructor
"Other hint: you can use a variable that is a pseudo-accumulator for a boolean value. See the video ""for loop over str"", this is pretty close to what's needed here. Cheers",instructor
"Alright, you open a1.py in IDLE, and then: Tackle the very first function definition in the file: seconds_differenceWhat I recommend you do is type this in IDLE: >>> time_1 = 3600.0>>> time_2 = 1800.0Now, you have two variables, with the same name as the parameters in the function.Play around in IDLE, using the first week material, especially from the ""Python as a calculator"" and ""Variables"" videos.Use those variables, and arithmetic operators to write in expressions, and evaluate them.Try different operators and different orders for the variables. When one of the expression evaluates to -1800.0, you will have most likely found the exact expression that you need to write in your return statement.So, add that body to the function, then try and run the module in IDLE.If it runs fine, and you see the RESTART status message, try and copy the examples from the docstring of the function into the IDLE shell, and see if they produce the expected results. When you have successfully tried all the examples in the docstring, go to the assignment page and upload your modified file (make sure you're really uploading the file you worked on, people forget that a lot.) With chance, you should see that your function has passed some tests, and earned you some points.Then, you will be on track to go on to Step 3.Can you try that?Cheers ",instructor
"Yes, you need to define the function yourself. No starter code is provided for that function. Try and follow the function design recipe, and you shouldn't have any problem.",instructor
Hey Have you made sure your whole file is Syntacticly correct by trying to run it as a module in IDLE?,instructor
"Yes it can. But either way, as long as the index is valid, that will not change things: the slicing operation will still work the same. ",instructor
"Damn, thanks for letting me know.",instructor
