line,parent,turnlabel,Session,Condition,user,content,len,Offtask,Cheating,AT,Reas,Trans,Neg,Het
13,12,str13,A,ns,Tutor,"As you watch the video, write down your observations on your worksheet.",0,no,no,no,no,no,a2,m
14,13,str14,A,ns,Tutor,"Go to the Videos folder on the Desktop, and watch the video which is there.",0,no,no,no,no,no,a2,m
15,14,str15,A,ns,s001       ,I predict that in Condition A the cell model would gain more water and Codition b would loose the water in the cell model,0,no,no,no,reas,ex,k1,he
16,15,str16,A,ns,Tutor,Is everyone back?,0,no,no,no,no,no,k2,na
17,16,str17,A,ns,Tutor,Now discuss what you observed in the video about conditions A and B. Compare what you observed to your predictions.,0,no,no,no,no,no,a2,he
18,17,str18,A,ns,Tutor,You should now move on to discussing what you observed in the video about condition C. Compare what you observed to your predictions. How is this different from what happened in condition A?,0,no,no,no,no,no,a2,he
19,18,str19,A,ns,Tutor,"Ok, I gotta go.",0,no,no,no,no,no,o,m
20,19,str20,A,ns,Tutor,It was nice talking to you all. :-),0,no,no,no,no,no,o,he
21,20,str21,A,ns,s001       ,Nice talking to you two<,0,no,no,no,no,no,o,he
22,21,str22,A,ns,s002       ,why isnt this working?,0,no,no,no,no,no,k2,na
23,22,str23,A,ns,s006       ,this thing is slow,0,no,no,no,no,no,k1,m
24,23,str24,A,ns,Tutor,"In condition C, we made a modification to condition A. We replace the glucose solution with a starch suspension. In order to detect the presence of starch, we replace the distilled water with Lugol's Iodine solution.",0,no,no,no,reas,ex,k1,m
25,24,str25,A,ns,Tutor,You should now move on to discussing what will happen in Condition C and your explanation for this change.,0,no,no,no,no,no,a2,he
26,25,str26,A,ns,Tutor,"When you are in agreement, write down your predictions and explanations for Conditions A, B and C on your worksheet.",0,no,no,no,no,no,a2,m
27,26,str27,A,ns,s010       ,water will be able to get in but the starch wont be able to move out so the tube will expand,0,no,no,no,reas,ex,k1,m
28,27,str28,A,ns,s010       ,thats for C,0,no,no,no,no,no,k1,m
29,28,str29,A,ns,s006       ,what one are you talking about,0,no,no,no,no,no,k2,na
30,29,str30,A,ns,s006       ,i see you,0,no,no,no,no,no,o,he
31,30,str31,A,ns,s010       ,C on the chart,0,no,no,no,no,no,k1,m
32,31,str32,A,ns,s010       ,i see you too,0,no,no,no,no,no,o,he
33,32,str33,A,ns,Tutor,"You are now going to watch a video showing the cell in Conditions A, B and C.",0,no,no,no,no,no,a2,m
34,33,str34,A,ns,Tutor,"As you watch the video, write down your observations on your worksheet.",0,no,no,no,no,no,a2,m
35,34,str35,A,ns,Tutor,"Go to the Videos folder on the Desktop, and watch the video which is there.",0,no,no,no,no,no,a2,m
36,35,str36,A,ns,s002       ,If glucose is placed in the beaker the water in the tube will disapear,0,no,no,no,reas,ex,k1,m
37,36,str37,A,ns,s006       ,what was the explaination for C and A,0,no,no,no,no,no,k2,na
38,37,str38,A,ns,s006       ,never mind,0,no,no,no,no,no,o,na
39,38,str39,A,ns,Tutor,Are you guys back?,0,no,no,no,no,no,k2,na
40,39,str40,A,ns,s006       ,is anyone else seriously confused,0,no,no,no,no,no,k2,na
41,40,str41,A,ns,s010       ,"{s006}, did you get any other observation other than the weight",0,no,no,no,no,no,k2,na
42,41,str42,A,ns,s006       ,no i didnt write anything down for the observations,0,no,no,no,no,no,k1,m
43,42,str43,A,ns,Tutor,"Ok, I gotta go.",0,no,no,no,no,no,o,m
44,43,str44,A,ns,Tutor,It was nice talking to you all. :-),0,no,no,no,no,no,o,he
45,44,str45,A,ns,s010       ,um bye?,0,no,no,no,no,no,o,na
46,45,str46,A,ns,s002       ,for 1 hour on a it was .620 they were both clear tube and beaker and both strips were green,0,no,post,no,no,no,k1,m
47,46,str47,A,ns,s002       ,same for the B but the weight was .540,0,no,post,no,no,no,k1,m
48,-1,str48,A,ind,Tutor,"Hi all! Today, each of you will be both the instructor and the student. Each of you will be responsible for looking for opportunities for a specific discussion strategy to be used in the conversation.",0,no,no,no,no,no,a2,m
49,48,str49,A,ind,Tutor,Lets get started by introducing ourselves. I am Alex.,0,no,no,no,no,no,a1,he
50,49,str50,A,ind,s003      ,hello this is christian,0,no,no,no,no,no,k1,m
51,50,str51,A,ind,Tutor,"s003,s007,s011... i didn't get your names yet.",0,no,no,no,no,no,k2,m
52,51,str52,A,ind,s011       ,I'm {s011},0,no,no,no,no,no,k1,m
53,52,str53,A,ind,Tutor,"Hi {s003} you are the Revoicer. When an explanation or idea is given which would benefit from revoicing, please encourage one of your team mates to do so, for example, by asking them to explain what was said in their own words.",0,no,no,no,no,no,a2,he
54,53,str54,A,ind,Tutor,"s007, you are the Challenger. When you see a statement being made (whether it is right or wrong) which would benefit from being challenged, please encourage one of your team mates to do so, for example, by asking them whether they agree or disagree with what was said, and why.",0,no,no,no,no,no,a2,he
55,54,str55,A,ind,Tutor,"Ok... So the Explainer is s011. When you see a place where it would be good to get more explanation, you can encourage one of your team mates to do that, for example, by inviting that person to add on to what the other student has already said.",0,no,no,no,no,no,a2,he
56,55,str56,A,ind,Tutor,"You should probably all mark an X opposite your role in the book, so you won't forget.",0,no,no,no,no,no,a2,he
57,56,str57,A,ind,s003      ,who r u guys,0,pre,no,no,no,no,k2,na
58,57,str58,A,ind,Tutor,Its nice to meet you all. :) Please make sure you have understood what you are responsible for by looking over pages 7-9 in your book and remembering what role you have been assigned.,0,no,no,no,no,no,a2,he
59,58,str59,A,ind,Tutor,"In condition A, we placed a glucose solution inside the cell model and immerse it in distilled water. In condition B, we did the opposite.",0,no,no,no,no,no,k1,m
60,59,str60,A,ind,Tutor,Please discuss what you predict will happen in these two conditions.,0,no,no,no,no,no,a2,he
61,60,str61,A,ind,s007       ,when we put in the glucose the cell will get smaller,0,no,no,no,reas,ex,k1,m
62,61,str62,A,ind,Tutor,"s011, can you ask {s003} to build on what S007 is saying.",0,no,no,no,no,no,a2,he
63,62,str63,A,ind,s011       ,{s003} can you build on to what s007 said.,0,no,no,at,no,no,a2,he
64,63,str64,A,ind,Tutor,"In condition C, we made a modification to condition A. We replace the glucose solution with a starch suspension. In order to detect the presence of starch, we replace the distilled water with Lugol's Iodine solution.",0,no,no,no,reas,ex,k1,m
65,64,str65,A,ind,Tutor,You should now move on to discussing what will happen in Condition C and your explanation for this change.,0,no,no,no,no,no,a2,he
66,65,str66,A,ind,s007       ,the cell will blacken when it comes in touch with the iodine,0,no,no,no,reas,tr,k1,m
67,66,str67,A,ind,Tutor,s011 can you ask {s003} to build on what s007 is saying.,0,no,no,no,no,no,a2,he
68,67,str68,A,ind,s003      ,i cannot build on,0,no,no,no,no,no,o,m
69,68,str69,A,ind,Tutor,"When you are in agreement, write down your predictions and explanations for Conditions A, B and C on your worksheet.",0,no,no,no,no,no,a2,m
70,69,str70,A,ind,s003      ,so for glucose we are putting the cell gets smaller? why?,0,no,no,no,no,no,k2,na
71,70,str71,A,ind,Tutor,"You are now going to watch a video showing the cell in Conditions A, B and C.",0,no,no,no,no,no,a2,m
72,71,str72,A,ind,Tutor,"As you watch the video, write down your observations on your worksheet.",0,no,no,no,no,no,a2,m
73,72,str73,A,ind,Tutor,"Go to the Videos folder on the Desktop, and watch the video which is there.",0,no,no,no,no,no,a2,m
74,73,str74,A,ind,s003      ,is anyone in here,0,no,no,no,no,no,k2,na
75,74,str75,A,ind,s011       ,I dont understand this.,0,no,no,no,no,no,k2,m
76,75,str76,A,ind,s007       ,we gotta watch a video,0,no,no,no,no,no,a1,m
77,76,str77,A,ind,s003      ,who is #11 and #7,0,pre,no,no,no,no,k2,na
78,77,str78,A,ind,s011       ,"I'm {s011}, who are you",0,pre,no,no,no,no,k2,m
79,78,str79,A,ind,s003      ,{s003} lol,0,pre,no,no,no,no,k1,m
80,79,str80,A,ind,s011       ,haha whos number 07,0,pre,no,no,no,no,k2,na
81,80,str81,A,ind,Tutor,Is everyone back?,0,no,no,no,no,no,k2,na
82,81,str82,A,ind,Tutor,Now discuss what you observed in the video about conditions A and B. Compare what you observed to your predictions.,0,no,no,no,no,no,a2,m
83,82,str83,A,ind,Tutor,You should now move on to discussing what you observed in the video about condition C. Compare what you observed to your predictions. How is this different from what happened in condition A?,0,no,no,no,no,no,a2,he
84,83,str84,A,ind,Tutor,"Ok, I gotta go.",0,no,no,no,no,no,o,m
85,84,str85,A,ind,Tutor,It was nice talking to you all. :-),0,no,no,no,no,no,o,he
86,85,str86,A,ind,s007       ,this is so confusing,0,no,no,no,no,no,k2,m
87,86,str87,A,ind,s011       ,And stupid,0,no,no,no,no,no,o,m
88,87,str88,A,ind,s011       ,For solution B what did we say for prediction and explanation,0,no,no,no,no,no,k2,na
89,88,str89,A,ind,s003      ,i didnt get anything,0,no,no,no,no,no,o,he
90,89,str90,A,ind,s007       ,i said it was gonna lose weight for solution b,0,no,post,no,reas,ex,k1,he
91,90,str91,A,ind,s003      ,is alex a real person or a computer,0,post,no,no,no,no,k2,na
92,91,str92,A,ind,s011       ,Same but i didnt say why. And I dotn know. I think he was a computer thing.,0,no,no,no,no,no,k1,he
93,92,str93,A,ind,s003      ,it was they just told me,0,post,no,no,no,no,k1,hc
94,93,str94,A,ind,s007       ,yeah he was & idk why,0,post,no,no,no,no,k1,m
95,94,str95,A,ind,s011       ,Why what?,0,post,no,no,no,no,k2,na
96,95,str96,A,ns,s004       ,whos this,0,no,no,no,no,no,k2,na
97,96,str97,A,ns,s008       ,who is this,0,no,no,no,no,no,k2,na
98,-1,str98,A,ns,Tutor,"Hi all! Today, each of you will be both the instructor and the student. Each of you will be responsible for looking for opportunities for a specific discussion strategy to be used in the conversation.",0,no,no,no,no,no,a2,m
99,98,str99,A,ns,s012       ,its {s012} whos this?,0,no,no,no,no,no,k2,na
100,99,str100,A,ns,Tutor,Lets get started by introducing ourselves. I am Alex.,0,no,no,no,no,no,a1,he
101,100,str101,A,ns,Tutor,"Hi {s004} you are the Revoicer. When an explanation or idea is given which would benefit from revoicing, please encourage one of your team mates to do so, for example, by asking them to explain what was said in their own words.",0,no,no,no,no,no,a2,he
102,101,str102,A,ns,s008       ,{s008} n whois this,0,no,no,no,no,no,k2,na
103,102,str103,A,ns,Tutor,"{s008}, you are the Challenger. When you see a statement being made (whether it is right or wrong) which would benefit from being challenged, please encourage one of your team mates to do so, for example, by asking them whether they agree or disagree with what was said, and why.",0,no,no,no,no,no,a2,he
104,103,str104,A,ns,Tutor,s012... i didn't get your name yet.,0,no,no,no,no,no,k1,m
105,104,str105,A,ns,Tutor,"Ok... So the Explainer is s012. When you see a place where it would be good to get more explanation, you can encourage one of your team mates to do that, for example, by inviting that person to add on to what the other student has already said.",0,no,no,no,no,no,a2,he
106,105,str106,A,ns,s008       ,oh r u sittin next to {s009}??,0,no,no,no,no,no,k2,na
107,106,str107,A,ns,Tutor,"You should probably all mark an X opposite your role in the book, so you won't forget.",0,no,no,no,no,no,a2,he
108,107,str108,A,ns,Tutor,Its nice to meet you all. :) Please make sure you have understood what you are responsible for by looking over pages 7-9 in your book and remembering what role you have been assigned.,0,no,no,no,no,no,a2,he
109,108,str109,A,ns,s012       ,im {s012},0,no,no,no,no,no,k1,m
110,109,str110,A,ns,s008       ,idk who {s012} is,0,no,no,no,no,no,k2,m
111,110,str111,A,ns,Tutor,"In condition A, we placed a glucose solution inside the cell model and immerse it in distilled water. In condition B, we did the opposite.",0,no,no,no,no,no,k1,m
112,111,str112,A,ns,s012       ,and yes,0,no,no,no,no,no,k1,m
113,112,str113,A,ns,Tutor,Please discuss what you predict will happen in these two conditions.,0,no,no,no,no,no,a2,he
114,113,str114,A,ns,s008       ,oh ok and hi {s004},0,pre,no,no,no,no,o,na
115,114,str115,A,ns,s004       ,stop typinh all fazt,0,pre,no,no,no,no,a2,m
116,115,str116,A,ns,s012       ,its the tutor typein that,0,pre,no,no,no,no,k1,m
117,116,str117,A,ns,s012       ,whos 004?,0,pre,no,no,no,no,k2,na
118,117,str118,A,ns,s012       ,oh ok sup,0,pre,no,no,no,no,k2,na
119,118,str119,A,ns,s008       ,typin wat the yellow stuff is the tutor all the other color stuff is us,0,pre,no,no,no,no,k1,he
120,119,str120,A,ns,s012       ,smartness,0,pre,no,no,no,no,o,na
121,120,str121,A,ns,s004       ,the glucsoe will expand in side. becasue of the sugar attracts?,0,no,no,no,reas,ex,k2,he
122,121,str122,A,ns,s012       ,i concur,0,no,no,no,no,no,k1,he
123,122,str123,A,ns,s004       ,? concur,0,no,no,no,no,no,o,na
124,123,str124,A,ns,s008       ,idek wat we r doin,0,no,no,no,no,no,k2,m
125,124,str125,A,ns,Tutor,"In condition C, we made a modification to condition A. We replace the glucose solution with a starch suspension. In order to detect the presence of starch, we replace the distilled water with Lugol's Iodine solution.",0,no,no,no,no,no,k1,m
126,125,str126,A,ns,Tutor,You should now move on to discussing what will happen in Condition C and your explanation for this change.,0,no,no,no,no,no,a2,he
127,126,str127,A,ns,s008       ,oh yess i agree,0,no,no,no,no,no,o,he
128,127,str128,A,ns,s012       ,with what?,0,no,no,no,no,no,o,na
129,128,str129,A,ns,s008       ,i hope you know wat u r doig,0,no,no,no,no,no,o,he
130,129,str130,A,ns,s008       ,doing*****,0,no,no,no,no,no,o,na
131,130,str131,A,ns,Tutor,"When you are in agreement, write down your predictions and explanations for Conditions A, B and C on your worksheet.",0,no,no,no,no,no,a2,he
132,131,str132,A,ns,Tutor,"You are now going to watch a video showing the cell in Conditions A, B and C.",0,no,no,no,no,no,a2,m
133,132,str133,A,ns,Tutor,"As you watch the video, write down your observations on your worksheet.",0,no,no,no,no,no,a2,m
134,133,str134,A,ns,Tutor,"Go to the Videos folder on the Desktop, and watch the video which is there.",0,no,no,no,no,no,a2,m
135,134,str135,A,ns,s004       ,mk {s008/Alex}<3,0,no,no,no,no,no,o,na
136,135,str136,A,ns,s008       ,alrighty then,0,no,no,no,no,no,o,na
137,136,str137,A,ns,s004       ,do you like spongebob,0,pre,no,no,no,no,k2,na
138,137,str138,A,ns,s012       ,i LOVE spongebob,0,pre,no,no,no,no,k1,he
139,138,str139,A,ns,s012       ,o yes.jk,0,pre,no,no,no,no,o,na
140,139,str140,A,ns,s012       ,ok so what are we putting for A?,0,no,no,no,no,no,k2,na
141,140,str141,A,ns,s008       ,yess i love spongebob<3,0,pre,no,no,no,no,k1,he
142,141,str142,A,ns,s012       ,can we get off the subject of spongebob?,0,pre,no,no,no,no,a1,he
143,142,str143,A,ns,s008       ,no i prefer not,0,pre,no,no,no,no,o,hc
144,143,str144,A,ns,s004       ,um tyhay it loses weight,0,no,no,no,no,no,k1,m
145,144,str145,A,ns,s012       ,ok so what u put for A?,0,no,pre,no,no,no,k2,na
146,145,str146,A,ns,s004       ,it loses weight,0,no,pre,no,no,no,k1,m
147,146,str147,A,ns,s004       ,right?,0,no,no,no,no,no,o,na
148,147,str148,A,ns,s012       ,yeah i agreee,0,no,no,no,no,no,o,he
149,148,str149,A,ns,s008       ,i said it will gain weight #2 will lose weight and #3 stays the same,0,no,no,no,reas,ex,k1,he
150,149,str150,A,ns,s012       ,it will lose weight because water has no glucose in it and the glucose will let out sugar,0,no,no,no,reas,tr,k1,m
151,150,str151,A,ns,s012       ,#2 it will gain weight,0,no,no,no,no,no,o,m
152,151,str152,A,ns,s008       ,watever,0,no,no,no,no,no,o,na
153,152,str153,A,ns,Tutor,Are you guys back?,0,no,no,no,no,no,k2,na
154,153,str154,A,ns,s004       ,nope wer watching iyt,0,no,no,no,no,no,k1,m
155,154,str155,A,ns,Tutor,Now discuss what you observed in the video about conditions A and B. Compare what you observed to your predictions.,0,no,no,no,no,no,a2,m
156,155,str156,A,ns,s008       ,does ne one know wat they r doing,0,no,no,no,no,no,k2,na
157,156,str157,A,ns,Tutor,You should now move on to discussing what you observed in the video about condition C. Compare what you observed to your predictions. How is this different from what happened in condition A?,0,no,no,no,no,no,a2,he
158,157,str158,A,ns,Tutor,"Ok, I gotta go.",0,no,no,no,no,no,o,m
159,158,str159,A,ns,Tutor,It was nice talking to you all. :-),0,no,no,no,no,no,o,he
160,159,str160,A,ns,s008       ,ok this video made no sense at all soes any one know what they are doing,0,no,no,no,no,no,o,m
161,160,str161,A,ns,s012       ,maybeee,0,no,no,no,no,no,o,he
162,161,str162,A,ns,s008       ,well then tell me,0,no,no,no,no,no,k2,m
163,162,str163,A,ns,s008       ,well then tell me,0,no,no,no,no,no,o,m
164,163,str164,A,ns,s012       ,well A is retarded,0,no,no,no,no,no,k1,m
165,164,str165,A,ns,s012       ,it gained twice then lost weight,0,no,no,no,no,no,k1,m
166,165,str166,A,ns,s008       ,well i only got the 1 hour thing nd the 5 hour one i dint watch the rest of the video,0,no,no,no,no,no,o,he
167,166,str167,A,ns,s008       ,{s004} are u still on,0,no,no,no,no,no,k2,na
168,167,str168,A,ns,s012       ,she got shot,0,post,no,no,no,no,k1,m
169,168,str169,A,ns,s008       ,ok tht is good i love how u just say tht randomly,0,post,no,no,no,no,o,he
170,169,str170,A,ns,s008       ,alright we r cheatin on this quiz wats the answers,0,post,no,no,no,no,a1,m
171,-1,str171,B,dir,Tutor,"Hi all! Today, each of you will be both the instructor and the student. Each of you will be responsible for looking for opportunities for a specific discussion strategy to be used in the conversation.",0,no,no,no,no,no,k1,m
172,171,str172,B,dir,Tutor,Lets get started by introducing ourselves. I am Alex.,0,no,no,no,no,no,a1,he
173,172,str173,B,dir,Tutor,"s020,s022,s021... i didn't get your names yet.",0,no,no,no,no,no,k2,m
174,173,str174,B,dir,Tutor,"Hi s020 you are the Revoicer. When an explanation or idea is given which would benefit from revoicing, please encourage one of your team mates to do so, for example, by asking them to explain what was said in their own words.",0,no,no,no,no,no,a2,he
175,174,str175,B,dir,Tutor,"s022, you are the Challenger. When you see a statement being made (whether it is right or wrong) which would benefit from being challenged, please encourage one of your team mates to do so, for example, by asking them whether they agree or disagree with what was said, and why.",0,no,no,no,no,no,a2,he
176,175,str176,B,dir,Tutor,"Ok... So the Explainer is s021. When you see a place where it would be good to get more explanation, you can encourage one of your team mates to do that, for example, by inviting that person to add on to what the other student has already said.",0,no,no,no,no,no,a2,he
177,176,str177,B,dir,Tutor,"You should probably all mark an X opposite your role in the book, so you won't forget.",0,no,no,no,no,no,a2,he
178,177,str178,B,dir,Tutor,Its nice to meet you all. :) Please make sure you have understood what you are responsible for.,0,no,no,no,no,no,a2,he
179,178,str179,B,dir,Tutor,"In condition A, we placed a glucose solution inside the cell model and immerse it in distilled water. In condition B, we did the opposite.",0,no,no,no,no,no,k1,m
180,179,str180,B,dir,Tutor,Please discuss what you predict will happen in these two conditions.,0,no,no,no,no,no,a2,he
181,180,str181,B,dir,s020       ,my name is {s020},0,pre,no,no,no,no,k1,m
182,181,str182,B,dir,s022       ,hi im {s022},0,pre,no,no,no,no,k1,m
183,182,str183,B,dir,s021       ,i dont get this,0,no,no,no,no,no,k2,he
184,183,str184,B,dir,Tutor,"In condition C, we made a modification to condition A. We replace the glucose solution with a starch suspension. In order to detect the presence of starch, we replace the distilled water with Lugol's Iodine solution.",0,no,no,no,reas,ex,k1,m
185,184,str185,B,dir,Tutor,You should now move on to discussing what will happen in Condition C and your explanation for this change.,0,no,no,no,no,no,a2,he
186,185,str186,B,dir,s021       ,i think that it will let water in but not glucose,0,no,no,no,reas,ex,k1,he
187,186,str187,B,dir,Tutor,"s020, do you agree with what s021 is saying?",0,no,no,at,no,no,k2,na
188,187,str188,B,dir,s020       ,i think that the liquid inside will come out,0,no,no,no,reas,ex,k1,he
189,188,str189,B,dir,Tutor,"s022, do you agree with what s020 is saying?",0,no,no,at,no,no,k2,na
190,189,str190,B,dir,Tutor,"When you are in agreement, write down your predictions and explanations for Conditions A, B and C on your worksheet.",0,no,no,no,no,no,a2,m
191,190,str191,B,dir,s021       ,i disagree with {s020} because i really dont understand what she just said,0,no,no,no,reas,tr,k1,he
192,191,str192,B,dir,Tutor,"You are now going to watch a video showing the cell in Conditions A, B and C.",0,no,no,no,no,no,a2,m
193,192,str193,B,dir,Tutor,"As you watch the video, write down your observations on your worksheet.",0,no,no,no,no,no,a2,m
194,193,str194,B,dir,Tutor,"Go to the Videos folder on the Desktop, and watch the video which is there.",0,no,no,no,no,no,a2,m
195,194,str195,B,dir,s022       ,i think that the glucose and distilled water will mix,0,no,no,no,reas,ex,k1,he
196,195,str196,B,dir,s021       ,what does that mean s022,0,no,no,at,no,no,k2,na
197,196,str197,B,dir,s020       ,{s021} why do you think that the glucose will stay inside,0,no,no,at,no,no,k2,na
198,197,str198,B,dir,s022       ,what does what mean?,0,no,no,no,no,no,k2,na
199,198,str199,B,dir,Tutor,Back from watching the video?,0,no,no,no,no,no,k2,na
200,199,str200,B,dir,Tutor,Now discuss what you observed in the video about conditions A and B. Compare what you observed to your predictions.,0,no,no,no,no,no,a2,m
201,200,str201,B,dir,Tutor,You should now move on to discussing what you observed in the video about condition C. Compare what you observed to your predictions. How is this different from what happened in condition A?,0,no,no,no,no,no,a2,he
202,201,str202,B,dir,Tutor,"Ok, I gotta go.",0,no,no,no,no,no,o,m
203,202,str203,B,dir,Tutor,It was nice talking to you all. :-),0,no,no,no,no,no,o,he
204,203,str204,B,dir,s022       ,hi every1,0,post,no,no,no,no,o,na
205,-1,str205,C,ind,Tutor,"Hi all! Today, each of you will be both the instructor and the student. Each of you will be responsible for looking for opportunities for a specific discussion strategy to be used in the conversation.",0,no,no,no,no,no,a2,m
206,205,str206,C,ind,Tutor,Lets get started by introducing ourselves. I am Alex.,0,no,no,no,no,no,a1,he
207,206,str207,C,ind,Tutor,"s034,s041,s027... i didn't get your names yet.",0,no,no,no,no,no,k1,m
208,207,str208,C,ind,s034       ,my name is {s034},0,no,no,no,no,no,k1,m
209,208,str209,C,ind,Tutor,"Hi S034 you are the Revoicer. When an explanation or idea is given which would benefit from revoicing, please encourage one of your team mates to do so, for example, by asking them to explain what was said in their own words.",0,no,no,no,no,no,a2,he
210,209,str210,C,ind,Tutor,"S041, you are the Challenger. When you see a statement being made (whether it is right or wrong) which would benefit from being challenged, please encourage one of your team mates to do so, for example, by asking them whether they agree or disagree with what was said, and why.",0,no,no,no,no,no,a2,he
211,210,str211,C,ind,Tutor,"Ok... So the Explainer is S027. When you see a place where it would be good to get more explanation, you can encourage one of your team mates to do that, for example, by inviting that person to add on to what the other student has already said.",0,no,no,no,no,no,a2,he
212,211,str212,C,ind,Tutor,"You should probably all mark an X opposite your role in the book, so you won't forget.",0,no,no,no,no,no,a2,he
213,212,str213,C,ind,Tutor,Its nice to meet you all. :) Please make sure you have understood what you are responsible for.,0,no,no,no,no,no,a2,he
214,213,str214,C,ind,Tutor,"In condition A, we placed a glucose solution inside the cell model and immerse it in distilled water. In condition B, we did the opposite.",0,no,no,no,no,no,k1,m
215,214,str215,C,ind,Tutor,Please discuss what you predict will happen in these two conditions.,0,no,no,no,no,no,a2,he
216,215,str216,C,ind,s041       ,who is 27,0,pre,no,no,no,no,k2,na
217,216,str217,C,ind,s027       ,{s027},0,pre,no,no,no,no,k1,m
218,217,str218,C,ind,s034       ,what do you think'ds going to happen?,0,no,no,at,no,no,k2,na
219,218,str219,C,ind,Tutor,"In condition C, we made a modification to condition A. We replace the glucose solution with a starch suspension. In order to detect the presence of starch, we replace the distilled water with Lugol's Iodine solution.",0,no,no,no,reas,ex,k1,m
220,219,str220,C,ind,Tutor,You should now move on to discussing what will happen in Condition C and your explanation for this change.,0,no,no,no,no,no,a2,he
221,220,str221,C,ind,s041       ,the world is going to end in 2012,0,pre,no,no,no,no,k1,m
222,221,str222,C,ind,Tutor,"S027, now would be a good time to ask S034 to build on what S041 is saying.",0,no,no,no,no,no,k1,he
223,222,str223,C,ind,s034       ,im so confused!,0,no,no,no,no,no,k2,m
224,223,str224,C,ind,s027       ,"034, would you like to build on to what 041 is saying? and me too!",0,no,no,at,no,no,a2,he
225,224,str225,C,ind,Tutor,"When you are in agreement, write down your predictions and explanations for Conditions A, B and C on your worksheet.",0,no,no,no,no,no,a2,m
226,225,str226,C,ind,Tutor,"You are now going to watch a video showing the cell in Conditions A, B and C.",0,no,no,no,no,no,a2,m
227,226,str227,C,ind,s027       ,ooh. hi,0,pre,no,no,no,no,o,na
228,227,str228,C,ind,Tutor,"As you watch the video, write down your observations on your worksheet.",0,no,no,no,no,no,a2,m
229,228,str229,C,ind,Tutor,"Go to the Videos folder on the Desktop, and watch the video which is there.",0,no,no,no,no,no,a2,m
230,229,str230,C,ind,s027       ,idk what to do.,0,no,no,no,no,no,k2,m
231,230,str231,C,ind,s034       ,someone predict something,0,no,no,at,no,no,a2,m
232,231,str232,C,ind,s041       ,THE WORLD IS GOING TO END IN 2012 !,0,pre,no,no,no,no,a1,m
233,232,str233,C,ind,s034       ,oh i get it! what do you think is going to happen when you put the glucose in the distilled water?,0,no,no,at,no,no,k2,na
234,233,str234,C,ind,s027       ,i think it will turn a different color.,0,no,no,no,reas,ex,k1,he
235,234,str235,C,ind,s027       ,{s041}?,0,no,no,at,no,no,a2,na
236,235,str236,C,ind,s041       ,ok dude what 27 said,0,no,no,no,no,no,a1,he
237,236,str237,C,ind,s027       ,in your own words,0,no,no,at,no,no,o,na
238,237,str238,C,ind,s041       ,you have to be more specific 27,0,no,no,at,no,no,a2,hc
239,238,str239,C,ind,s027       ,ur one to talk!!!,0,no,no,no,no,no,o,na
240,239,str240,C,ind,s034       ,the answer to number one : the distilled water will move into the internal envorment of glucose solution,0,no,pre,no,reas,ex,k1,m
241,240,str241,C,ind,s034       ,and the explaination is glucose is denser,0,no,pre,no,reas,tr,k1,m
242,241,str242,C,ind,s027       ,just write what she[{s034}] said.,0,no,pre,no,no,no,a1,m
243,242,str243,C,ind,s041       ,for the explination,0,no,pre,no,no,no,o,na
244,243,str244,C,ind,s034       ,#2 the distilled water will move into the external enviroment,0,no,pre,no,reas,ex,k1,m
